net,sheet,kind,net_class,impedance_ohm,track_width_mm,pair_gap_mm,pair_with,length_match_group,match_tolerance_mm,notes
IO_L19_P_33,som_j2,single,Default,,,,,,,
IO_L19_VREF_N_33,som_j2,single,Default,,,,,,,
IO_L1P_13,som_j2,single,Default,,,,,,,
IO_L1_N_13,som_j2,single,Default,,,,,,,
IO_L20_N_33,som_j2,single,Default,,,,,,,
IO_L20_P_33,som_j2,single,Default,,,,,,,
IO_L21_DQS_N_33,som_j2,single,Default,,,,,,,
IO_L21_DQS_P_33,som_j2,single,Default,,,,,,,
IO_L21_P_13,som_j2,single,Default,,,,,,,
IO_L22_N_33,som_j2,single,Default,,,,,,,
IO_L22_P_13,som_j2,single,Default,,,,,,,
IO_L22_P_33,som_j2,single,Default,,,,,,,
IO_L23_N_13,som_j2,single,Default,,,,,,,
IO_L23_N_33,som_j2,single,Default,,,,,,,
IO_L23_P_13,som_j2,single,Default,,,,,,,
IO_L23_P_33,som_j2,single,Default,,,,,,,
IO_L24_N_13,som_j2,single,Default,,,,,,,
IO_L24_N_33,som_j2,single,Default,,,,,,,
IO_L24_P_13,som_j2,single,Default,,,,,,,
IO_L24_P_33,som_j2,single,Default,,,,,,,
IO_L2_N_13,som_j2,single,Default,,,,,,,
IO_L2_P_13,som_j2,single,Default,,,,,,,
IO_L3_N_13,som_j2,single,Default,,,,,,,
IO_L3_P_13,som_j2,single,Default,,,,,,,
IO_L4_N_13,som_j2,single,Default,,,,,,,
IO_L4_P_13,som_j2,single,Default,,,,,,,
IO_L5P_13,som_j2,single,Default,,,,,,,
IO_L5_N_13,som_j2,single,Default,,,,,,,
IO_L6_N_VREF_13,som_j2,single,Default,,,,,,,
IO_L6_P_13,som_j2,single,Default,,,,,,,
IO_L6_P_33,som_j2,single,Default,,,,,,,
IO_L7_N_13,som_j2,single,Default,,,,,,,
IO_L7_P_13,som_j2,single,Default,,,,,,,
IO_L8_N_13,som_j2,single,Default,,,,,,,
IO_L8_P_13,som_j2,single,Default,,,,,,,
IO_L9_DQS_N_13,som_j2,single,Default,,,,,,,
IO_L9_DQS_P_13,som_j2,single,Default,,,,,,,
ZYNQ_PS_UART0_CTS_N,som_j2,single,Default,,,,,,,
ZYNQ_PS_UART0_RTS_N,som_j2,single,Default,,,,,,,
IO_L10_N_34,som_j3,single,Default,,,,,,,
IO_L10_N_35,som_j3,single,Default,,,,,,,
IO_L10_P_34,som_j3,single,Default,,,,,,,
IO_L10_P_35,som_j3,single,Default,,,,,,,
IO_L11_SRCC_N_34,som_j3,single,Default,,,,,,,
IO_L11_SRCC_N_35,som_j3,single,Default,,,,,,,
IO_L11_SRCC_P_34,som_j3,single,Default,,,,,,,
IO_L11_SRCC_P_35,som_j3,single,Default,,,,,,,
IO_L12_MRCC_N_34,som_j3,single,Default,,,,,,,
IO_L12_MRCC_N_35,som_j3,single,Default,,,,,,,
IO_L12_MRCC_P_34,som_j3,single,Default,,,,,,,
IO_L12_MRCC_P_35,som_j3,single,Default,,,,,,,
IO_L13_MRCC_N_34,som_j3,single,Default,,,,,,,
IO_L13_MRCC_N_35,som_j3,single,Default,,,,,,,
IO_L13_MRCC_P_34,som_j3,single,Default,,,,,,,
IO_L13_MRCC_P_35,som_j3,single,Default,,,,,,,
IO_L14_SRCC_N_34,som_j3,single,Default,,,,,,,
IO_L14_SRCC_N_35,som_j3,single,Default,,,,,,,
