net,sheet,kind,net_class,impedance_ohm,track_width_mm,pair_gap_mm,pair_with,length_match_group,match_tolerance_mm,notes
FMC_LA07_P,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA07_N,PAIR:FMC_LA07_N/FMC_LA07_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA08_N,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA08_P,PAIR:FMC_LA08_N/FMC_LA08_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA08_P,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA08_N,PAIR:FMC_LA08_N/FMC_LA08_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA09_N,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA09_P,PAIR:FMC_LA09_N/FMC_LA09_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA09_P,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA09_N,PAIR:FMC_LA09_N/FMC_LA09_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA10_N,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA10_P,PAIR:FMC_LA10_N/FMC_LA10_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA10_P,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA10_N,PAIR:FMC_LA10_N/FMC_LA10_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA11_N,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA11_P,PAIR:FMC_LA11_N/FMC_LA11_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA11_P,fmc,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA11_N,PAIR:FMC_LA11_N/FMC_LA11_P,1.27,"deferred: som_j3/j1 bank-35 pin map (dossier fmc.md section 1, P3 linker); JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_LINE_MDI_0_N,rj45_connector,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_LINE_MDI_0_P,PAIR:ETH_LINE_MDI_0_N/ETH_LINE_MDI_0_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_LINE_MDI_0_P,rj45_connector,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_LINE_MDI_0_N,PAIR:ETH_LINE_MDI_0_N/ETH_LINE_MDI_0_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
